Q,A
"9-1-1, what's your emergency?","Yeah, hi, I'm on Daniel Street Southeast. I'm at around 68 Daniel Street Southeast. There's been a demolition of a house and there is a woman inside. We need someone to come. The house is being demolished by city order. There's a woman inside the house, we need an ambulance immediately."
"9-1-1, what's your emergency?",Just received a 911 call from a male. I think he just shot someone on his porch.
"9-1-1, what's your emergency?","Yeah, I need an ambulance to 129th, South Reno. There's a guy who stayed with me last night and he's not responding to me. He takes pain pills and he's not responding to me."
"9-1-1, what's your emergency?","Okay, I called before and they came back. I think they are trying to break in. They broke my back door. I'm sorry, I'm trying to calm down."
"9-1-1, what's your emergency?",Do I need an ambulance and a police officer? Yeah. What's that?
"9-1-1, what's your emergency?","Yes, I'm on, uh, southbound Old 23 turning, um, westbound on, uh, Hilton, and I'm behind an Oldsmobile Bravada, license plate CEG 8148, and it's been all over the road. Red."
"9-1-1, what's your emergency?",My name is [Caller]. My husband collapsed on the floor. You need to know my address to get in the door.
"9-1-1, what's your emergency?","Hello, there has been a murder-suicide. There are no survivors. Please send help. My ex-boyfriend broke into my house and killed my current boyfriend and then killed himself."
"9-1-1, what's your emergency?","God, help! Please! Please! Somebody killed my mother! Oh, my God!"
"9-1-1, what's your emergency?","Mom, I'm in the shop right now. I'm going to put my car and it got me in the car. I don't know. They got my car and I'm in the car right now."
"9-1-1, what's your emergency?","Yeah, we're, um, at the corner of 119 and County Road 1. We just saw a plane go down. The corner of 119 and County Road 1."
"9-1-1, what's your emergency?","Okay, and what city is this in? No, it's a house, and we're right on the road, right in front of Gwen Smith's house."
"9-1-1, what's your emergency?",1620 Green Place. Green Place.
"9-1-1, what's your emergency?","This is at 711 Horseshoe Loop. Somebody has been shot. Yes, we are across the road from it. I don't know the exact number."
"9-1-1, what's your emergency?","Brompton down on Walmson. Hey, it's a part on Mavon Street."
"9-1-1, what's your emergency?",I need an ambulance. Oh my God.
"9-1-1, what's your emergency?",I'm going to know what are you going to take? I can't understand you.
"9-1-1, what's your emergency?","There's a suspicious subject in the area, I'm turning on Sharon Drive now. Approximately 5'7"" to 5'10"", looks like a killer build."
"9-1-1, what's your emergency?","I don't know. There's a lady lying out here on the sidewalk. Yes, she's bleeding."
"9-1-1, what's your emergency?",There is a guy with a gun at the Casey's on Ames. The Lincoln Way one.
"9-1-1, what's your emergency?","Hi, my girlfriend just pulled up and there's a guy that pulled up in a truck behind her. We think he has a gun. 914 Stephen Street, Jessup, Iowa. I mean, they're arguing by a truck. We've seen a gun."
"9-1-1, what's your emergency?","Everyone hates emergency? Yeah, can you please send rescue?"
"9-1-1, what's your emergency?","Yes, I'm... My friend, I think he's having a lot of health problems. He's unconscious on the floor now."
"9-1-1, what's your emergency?",I got a man stabbed. Elkona.
"9-1-1, what's your emergency?","I got a report of a shooting. Lehigh Hanson Permanente, 24001 Stevens Creek Boulevard."
"9-1-1, what's your emergency?","Mrs. Plurton, 860 Miller Avenue. I believe there's a robbery in progress, shots fired."
"9-1-1, what's your emergency?","Please, help. We've just been robbed."
"9-1-1, what's your emergency?","My mom had passed out. Yes, my mom."
"9-1-1, what's your emergency?","Yes, ma'am. There's a house on fire on Southeast 27th Street. Yeah."
"9-1-1, what's your emergency?","Hey, my mama fell down. Yeah."
"9-1-1, what's your emergency?","Yes, I think somebody's breaking into my house, please. I'm upstairs, and I can hear them breaking stuff down there."
"9-1-1, what's your emergency?","Hello, sir. We just had a robbery. They took a baby."
"9-1-1, what's your emergency?",This is the policeway. The emergency will borrow? Go on 17.7.7.
"9-1-1, what's your emergency?","I have been kidnapped, and we are being followed. He's going to kill me if they keep following him."
"9-1-1, what's your emergency?","My girlfriend left last night, and she hasn't made it back to the hotel. The Stevens Inn."
"9-1-1, what's your emergency?","1500 East Second Street, Suite 300. We believe there is a shooter. We've heard at least two shots."
"9-1-1, what's your emergency?",What's the address of your emergency? Ma'am.
"9-1-1, what's your emergency?",I need an ambulance. 193 Mockingbird Lane.
"9-1-1, what's your emergency?","Yes, it's an emergency. My husband has been shot. Can you call an ambulance? It's been half an hour."
"9-1-1, what's your emergency?","1675 Airport Road. I've been shot. Kennesaw, Georgia."
"9-1-1, what's your emergency?",I'm the guy that's in pretty big trouble right now. James.
"9-1-1, what's your emergency?","Police. My kids have been missing since 3 o'clock today, my 7-year-old and my 3-year-old."
"9-1-1, what's your emergency?","My wife fell asleep in the bathtub and I think she's dead! It's 5250 Crested Owl Court, Morrow, Ohio."
"9-1-1, what's your emergency?","Hey, uh, my friend is having a seizure. I'm not sure what the address is. I don't live here."
"9-1-1, what's your emergency?","Chairfield, Connecticut, 833 Thompson Hill Road. My wife has handcuffed me. I need assistance right away. My wife has handcuffed me. She's attacking me."
"9-1-1, what's your emergency?","I need someone to come pick me up. I'm actually okay, but the emergency is at 21448, North 34th Drive."
"9-1-1, what's your emergency?","Interior to bucket. Hey, give me a little break on the roof here."
"9-1-1, what's your emergency?","Yes, I can't get the traffic, sir. I'm in the city of La Crescenta, and my accelerator is stuck. I can't stop the vehicle. I have a baby in the car with me."
"9-1-1, what's your emergency?","Yes, ma'am. I am going eastbound on I-10 between LA-30 and LA-44. And there is a car westbound in the eastbound lane."
"9-1-1, what's your emergency?","Hi, um, I'm sorry. There was an accident. A hunter shot a woman in the woods. I'm in Northern, behind Jim Blair's house."
"9-1-1, what's your emergency?","Um, I'm Joan Pearson, and I just killed two people. Uh, Matthew Nagel and, uh, and, uh, um, Mrs. Nagel, I guess."
"9-1-1, what's your emergency?","I don't want to work, son. No."
"9-1-1, what's your emergency?","A woman came into her house screaming that her son had been shot. 1021 Dood Street, Woodville, Cain, Iowa."
"9-1-1, what's your emergency?","I'm at Cracker Barrel. I just informed my husband that I'm leaving him, and we got into an argument. We drove separately, but he refuses to leave the parking lot and keeps circling, waiting for me to leave. He's in a Jeep Liberty. He owns a shotgun, but I didn't see it on him. I did see shotgun shells in his car."
"9-1-1, what's your emergency?","I always get the two or five rights, so I said I'm going to get extra meat this time. But he didn't even, can you get me extra scrim or can you get my money back?"
"9-1-1, what's your emergency?","Communications, Mrs. Graham? This is Allison Ward, the principal at Snipes Academy. We have a dead body right out in front of our school on the grass area, but we're at the Dorothy B. Johnson location. 1100 McCray Street."
"9-1-1, what's your emergency?","Plastic Industries Plant 1 across from Lowe, 1712 Congress Parkway. I've got a burglar."
"9-1-1, what's your emergency?","I have been in the news recently about being in a hotel naked. And I have paparazzi outside my window and I was told by law enforcement that if I did to call 911. Yeah, these guys are sitting in a car outside my house right now. I would like to tell the officer to have them leave because the cops have told me to call 911 if they're outside my house."
"9-1-1, what's your emergency?","Oh, my God. Hello."
"9-1-1, what's your emergency?","Oh, my God. My babies are in there. Oh, my God, I'm so scared."
"9-1-1, what's your emergency?","There's a guy that just tried to get out of his car. He got out of his car, and he tried to get in my truck."
"9-1-1, what's your emergency?","There is a strange man outside our home, and he's hollering and crying out. I don't know what's going on with him. No, it's dark and raining."
"9-1-1, what's your emergency?","Um, I was told to call by my dad to tell where we're at. We are on F28 just getting stop mom. We are just getting onto the old uproad highway six roads."
"9-1-1, what's your emergency?","125 Signal Hill Road. Someone was murdered, I think?"
"9-1-1, what's your emergency?",Go to the bathroom. How did it 9-1-1-1?
"9-1-1, what's your emergency?","Well, my husband's not, I can't seem to wake him up. I'm not sure. He was sleeping really heavily, and I was just laying here, and all of a sudden the breathing kind of, like, stopped, and I came over to try to wake him up, and I can't wake him up."
"9-1-1, what's your emergency?","911, do you have the entire medical police? I don't have an emergency, too. Police officers just left my house just now."
"9-1-1, what's your emergency?","Um, my brother. My brother is drowning."
"9-1-1, what's your emergency?","It's 291 Stevens Drive, apartment 202. He came into my apartment and I shot him."
"9-1-1, what's your emergency?","Coconut Island, there's an emergency. My granddaughter and my daughter are dead."
"9-1-1, where is your emergency?","I'm sorry. Actually, I'm wanted for a crime, and I want to turn myself in. To be honest with you, I don't know what they're calling it. I got drunk and I attacked somebody."
"9-1-1, what's your emergency?","Hi, this is Letitia from the store Big Five on Green Valley. I have a person that is robbing me right now of my firearms. I need police to the store immediately. He is still in the store and he is getting my gun and he is breaking the lock with tools."
"9-1-1, what's your emergency?",Please help me. I'm at County Road 900 North and 600 East. We were building a TV tower and two of my guys fell off. They're dead.
"9-1-1, what's your emergency?","Sheriff's office. Justine says me help you. Hey, who's it?"
"9-1-1, what's your emergency?","Yes, this is North Las Vegas Tower. It looks like we have an aircraft on its way down. Near Simmons and Kerry. We have a crash at Simmons and Kerry."
"9-1-1, what's your emergency?","Need some help in here. Yeah, I need the police and the fire department at Sundrop Bottom."
"9-1-1, what's your emergency?",Fire emergency! Daypoint.
"9-1-1, what's your emergency?",He's been stabbed really bad. It's 318 McCrae Street.
"9-1-1, what's your emergency?","Uh, yeah, man, I'm up in Lex there, and, uh, we were in the road. We saw a guy jump out of a Cadillac. He was tied up."
"9-1-1, what's your emergency?",Good morning. It's an emergency. I think it's an emergency.
"9-1-1, what's your emergency?",There's a fire right here off of Broadway. Broadway and 4th Street. There's a girl that's unconscious.
"9-1-1, what's your emergency?","There's a fire on the north side of the school, near the library. We need an ambulance up here, please. It's at Rappahoe High School, on the north side by the library. There's also heavy smoke in the athletic hallway."
"9-1-1, what's your emergency?","Hey, the address to my emergency, I live at 31 Grand Street, and there's a fire at somebody's house across the street. Yes, 31 Grand Avenue."
"9-1-1, what's your emergency?",My 5... Someone stole a car from my driveway.
"9-1-1, what's your emergency?","My mom, she's crying. I think her stomach is hurting really, really bad. She's 33."
"9-1-1, what's your emergency?","This is an emergency. We're on a hike at Lake Malacca, and my kids are trapped in a snow cave. Lake Malacca. We accessed it from the Jenny Creek Trailhead."
"9-1-1, what's your emergency?","Someone has broken into my house and they're trying to get to me, please come hurry. 1725 South O'Aidst Street."
"9-1-1, what's your emergency?","Yes, emergency please. I'm here right here at Mary. I don't even address. My baby mother, oh God."
"9-1-1, what's your emergency?","It's my neighbor. She said someone was in the back of her house with a gun trying to kill her. She ran over here. 2842 East Mount Tabor Circle, Duluth."
"9-1-1, what's your emergency?","Yes, I have a gun and it went off in an alley. Someone just got shot. I don't even know what happened. Yes, as soon as you can."
"9-1-1, what's your emergency?","Hi, I'm speaking to my boyfriend as he was entering his home and I heard loud screaming and now there's dead air on the other end. 95 West Crescent Ramsey."
"9-1-1, what's your emergency?","Are you there? We have been shot at! Our house is under fire. We have three children, we need someone here now!"
"9-1-1, what's your emergency?","Hold on. Hold on, buddy. Hold on. Hold on. Help him. No. If he sits down, he's going to go into shock, he's got to stand up."
"9-1-1, what's your emergency?","Ma'am, my pickup was stolen. I had to go find it. Please help us. My girlfriend is really freezing out in the cold. We can't get out of here."
"9-1-1, what's your emergency?","Listen here. I'm at Main Street in Colorado Springs, Colorado. Main Street. That is the address."
"9-1-1, what's your emergency?",530 West Humbleweed Road. Gilbert Airs on 8.5.233.
"9-1-1, what's your emergency?","I need an ambulance for two people, somebody's been stabbed. Just come quick to 1035 North Bluebonnet."
"9-1-1, what's your emergency?",My friend's mom got attacked by a bobcat! We're on a dirt road off of Stone Ridge.
"9-1-1, what's your emergency?","Hi, I'm having problems with my 15-year-old son, Sean, at 3845 Westgate Circle in Magna. Yes."
"9-1-1, what's your emergency?","Hi, I wanted to report that a little girl just went into the rapids. Her mom jumped in after her, but they were going down the river pretty fast and everyone's still running after them."
"9-1-1, what's your emergency?","Hey, I need your help. Well, the thing is, I was just flying with my buddy."
"9-1-1, what's your emergency?","Uh, yeah, this is Nero Myers. I work for the school. We, uh, had a, I think a shooting right now at the bus barn down at the high school."
"9-1-1, what's your emergency?","Yeah, there's been a bunch of gunshots in my house, and I think a bunch of people were shot. 2112 East Republican."
"9-1-1, what's your emergency?","Uh, 8011 Hollyway Drive. There's a guy here with a gun."
"9-1-1, what's your emergency?",The paramedics is the address of your emergency. Hello?
"9-1-1, what's your emergency?","Let me want that one. The top, I'm sorry, I'm going to be."
"9-1-1, what's your emergency?","Oh my God, I just witnessed a vehicle accident on the northbound 94 freeway. Right before the Caledonia exit, just south of the 27th Street exit."
"9-1-1, what's your emergency?","Hey, this is James, a pharmacist with the Walgreens on Towersville Road and Cincinnati 8th Road, and we just got robbed. We'll have it all on video camera. Gentleman about 6'2, short hair, white glasses, in gray sweatpants, I think a brown shirt."
"9-1-1, what's your emergency?",Hello? Mike's Blue Drove. We got a bleeder.
"9-1-1, what's your emergency?","Oh, police. I want to tell you what's happening first."
"9-1-1, what's your emergency?","Ma'am, emergency at 5801 Eagle Drive. I don't have a gun."
"9-1-1, what's your emergency?","Somebody just broke into our house. We're all alone, please help us. I don't know."
"9-1-1, what's your emergency?","Counselor, no one here. Comey's Middle School, we have a student with a gun."
"9-1-1, what's your emergency?","Hey, 10, he's running from Argonne, 1522 Argonne running back towards you guys. He was at a house, 1522 Argonne. Unknown location right now. He had his back towards me. Unable to tell if he had a weapon or not."
"9-1-1, what's your emergency?","Yeah, my father is stuck up in the attic. He's 79 years old. He's trying to fix something, but it's really hot up there. He went up about 50 feet. It's just me and my mother here, and we can't get him to come down. Can you please send someone to help?"
"9-1-1, what's your emergency?",1110 Felton Farm Road. Our little boy stopped breathing.
"9-1-1, what's your emergency?","Mary. Car, river. My car is in the river. River."
"9-1-1, what's your emergency?",Sandy Hook School. I think there's somebody shooting in here. Because somebody's got a gun. I saw a glimpse of somebody running down the hallway.
"9-1-1, what's your emergency?","I don't know what happened. I'm down, what do I do?"
"9-1-1, what's your emergency?","Hey, how you doing? I'd like to report a double murder in Cambridge Arms. Yeah, hold on... it's 28C. 28 Cambridge Arms."
"9-1-1, what's your emergency?","Uh, the corner of Sycamore and Bradshaw. A man's on the ground, and I didn't go over and check him."
"9-1-1, what's your emergency?","There's been a gunshot at the Cobb Theater, Movie Theater at Cobb and Wesley Chapel. There was a gunshot. Someone has been shot. It looks like it might have been a pistol."
"9-1-1, what's your emergency?","I'm sorry for calling 911, but I didn't know what number to call. There's a guy at the exit from the beach, near the MacArthur Causeway, completely naked and throwing his clothes all over the highway. Yes, he's on the street on the expressway, holding onto one of the light poles and acting like Tarzan."
"9-1-1, what's your emergency?","There's a woman on my porch, she says she's been shot. Seven McCurry Street."
"9-1-1, what's your emergency?",My girlfriend was raped and I think she's dead. I need someone here now.
"9-1-1, what's your emergency?","Matt? Oh, I'm sorry. I've got the wrong number."
"9-1-1, what's your emergency?","Yes, I've shot somebody on 10th Street, I'm in front of the court. Yes, he ran up on my car."
"9-1-1, what's your emergency?","Hello, is this a place? 911?"
"9-1-1, what's your emergency?","Hi, this is Terry. I live in Mount Prospect, but I need to have somebody go to my brother-in-law's house."
"9-1-1, what's your emergency?","My friend was just hit by a train. Um, I'm not sure. I can see lights, and it looks like an accident. I'm trying to run down there. I think he's dead."
"9-1-1, what's your emergency?",We have a kidnapping. There's a note left and our daughter's gone.
"9-1-1, what's your emergency?","Hi, yeah. I think my roommate just got shot."
"9-1-1, what's your emergency?",I'm at Wetdale Place. W-E-T-D-A-L-E Place.
"9-1-1, what's your emergency?","Hi, ma'am. There's a man lying on the highway. I think he has blood on his arm. I don't know. He's lying face down. I'm kind of afraid to approach him."
"9-1-1, what's your emergency?",I need police. I know there's an Amber Alert on TV for this little boy.
"9-1-1, what's your emergency?",My wife is in the bathroom. She's bleeding all over the place. She thinks she's having a baby. I think so. I think she's in labor.
"9-1-1, what's your emergency?","Hi, there's gunshots. We're all on the floor. We're over on Arlington University right next to Walgreens. We're on 5551, Arlington Road."
"9-1-1, what's your emergency?","Yeah, I've just been bitten by, I think, a red-tail fox up in Red Reef Park. Yeah. I think he's rabid. He came out of the woods crazy."
"9-1-1, what's your emergency?","It's a restaurant. Yeah, let me, I'm, uh, being so, I'm the attention, and I'm, because there's, they're in the box. Like, how, are two? So, four, five, and then that's, discrimination. I go, no, it's a restaurant."
"9-1-1, what's your emergency?","Somebody just came in and shot my daughter and my husband. She's bleeding out. Please, ma'am, she's bleeding."
"9-1-1, what's your emergency?",I don't know. A girl came running to my house just a second ago. She said someone was going to die. About two minutes ago.
"9-1-1, what's your emergency?","Just read sign-o-cordid this, Teresa. Oh, my God, I need help. Oh, my God."
"9-1-1, what's your emergency?",I'm on the freeway between Hurricane and Colorado City. Yes.
"9-1-1, what's your emergency?",Should go out of now. I'll understand you know. 56 Nantucket.
"9-1-1, what's your emergency?","Um, that's, uh, what is this, like 1-10 Grady Avenue. It's behind the Taylor Grady House, at the Town and Gown's theater. A man just walked up and there were several gunshots."
"9-1-1, what's your emergency?","Hi, my name's Mickey. I'm the manager at the McDonald's on Vine Street. There's a woman here; she has a gun."
"9-1-1, what's your emergency?","I live in Lepente, and I think someone's trying to come in. Huh? Cross street."
"9-1-1, what's your emergency?","Yes, I live at 301 South 2nd Street. I've got a gentleman here that says there's been some gunshots fired outside."
"9-1-1, what's your emergency?",Good Enough Avenue. Someone is running around the neighborhood shooting a gun. I don't know. I'm back in my house. I can't tell. I think they're running on foot.
"9-1-1, what's your emergency?","Aventon, I'm in an emergency. Do you need police, fire, or ambulance? I have just smothered my wife."
"9-1-1, where's your emergency?","Well, I'm on 41 going south. I just crossed Chamberlain, and a man pulled up next to me. There was a child screaming in his car. It's a blue Camaro, like from the 90s or early 2000s or something."
"9-1-1, what's your emergency?","Yes. Okay, I live at 201 Rushing Way, Building 1042 in Myrtle Beach."
"9-1-1, what's your emergency?","Yes, ma'am. My name is Special Agent Richard A. Smith, badge number 0931 with the United States Illuminati Order. Right now, I am currently stuck inside the air conditioning unit on top of the Knoxville Museum of Art, downtown at the World's Fair Park."
"9-1-1, what's your emergency?",I'm calling about a friend who lives at 6155 Gray Street. I've been told her boyfriend is assaulting her. Her name is Ashley.
"9-1-1, what's your emergency?",My parents were shot. I'm at 4240-47 Avenue.
"9-1-1, what's your emergency?",Hello. I'm gonna hurt myself.
"9-1-1, what's your emergency?","We're at the Brightleaf flea market. No, I don't know."
"9-1-1, what's your emergency?","We're at the entrance to the airport, south entrance just before the turn. There's a TSA agent that looks like he's having a heart attack or a stroke."
"9-1-1, what's your emergency?",Ronald 911 with the location of the emergency. This is Callow. We're at the Best Western off of 114. Someone has been shot in the neck. They're going to need medical assistance.
"9-1-1, what's your emergency?","Listen, please. Don't hang up and listen to me. I've been taken out of my house at gunpoint. Please, I am on the road. He's got me with my kids."
"9-1-1, what's your emergency?","I don't know what the address is, but it appears to be south of the 118 and Canoga or Topanga, and there's a big plume of black smoke. I believe so. It might be between Canoga and Topanga."
"9-1-1, what's your emergency?",My daughter is choking on a bouncy ball. Yes.
"9-1-1, what's your emergency?","Uh, I mean, it's, I'll use an emergency that the AMS and fire department will probably be involved before death. Okay, do you need an officer?"
"9-1-1, what's your emergency?","There was a shooting involving a black Audi with no plates. The suspect is a black male, 25 to 30, driving at a high speed. It's near Bradley and Magnolia. The suspect in that shooting matches the description."
"9-1-1, what's your emergency?",I need an ambulance to 101 Colony. The man has been stabbed.
"9-1-1, what's your emergency?",I need an ambulance and police. I don't care who. 15612 Spring Hill.
"9-1-1, what's your emergency?",We just got to Shiller Park. We just got to Shiller Park. They just beat up my nephew and stole something.
"9-1-1, what's your emergency?",I'm by the river. The dog jumped in the water and we can't get her out. Oh my God!
"9-1-1, what's your emergency?",Police. Police.
"9-1-1, what's your emergency?","Somebody, please come. Fort Lauderdale."
"9-1-1, what's your emergency?",I need you to please send a fire ambulance. My brother's drunk and he took out a knife. Please come now.
"9-1-1, what's your emergency?",I have a gunshot victim here. He was breaking into the house. I shot him.
"9-1-1, what's your emergency?","Okay, and when you say he's down, what do you mean? She says she's been trying to give him CPR."
"9-1-1, what's your emergency?","Uh, yes, this is Kirby Nicol, the mayor of Capitola. I'm calling for assistance. I'd like to have an officer come to 4850 Emerald Street."
"9-1-1, what's your emergency?","I think we're on I-75. No, I can't see anything. The fog is so dense and we just hit a guardrail. I think there was an accident behind us because I heard it."
"9-1-1, what's your emergency?","Yes, I'm seeing a plane. We just saw a big airliner being escorted by two fighter planes."
"9-1-1, what's your emergency?",I just killed my family. All three of them. All three of me.
"9-1-1, what's your emergency?","There’s been an explosion. I need help! 761 Boylston Street. I see people down, there might be more devices."
